room id,review count,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
,,,,,,,,,"I'm from New York, and I can honestly say this pizza was really good and it felt like home! We got the margarita pie, and everything about it was great. One pie is good enough for two people but I definitely could have finished it by myself too! Great place to go to! They also have a caffe across the street (same owner) that sells gelato! It's also very delicious! I think I may stop by for another visit before going home!"
1905098,46,5,10,10,10,10,10,10,"So I've lived in Atlanta for almost 7 years, and yet, I'd never experienced Antico. I know, I know.....it's been a long time coming, but finally I got there. My pizza demon got too strong, and I succumb to the pressure, and went for pizza on Sunday afternoon. Besides the fact that the pizza was AWESOME, I hadn't heard anything about Antico. This review is more about what they are missing, versus what you actually get. Yes, the pizza is AH-MAZ-ING...like, INCREDIBLE....probably the best pizza I've had outside of NYC. If you want a great pie, you cannot go wrong with Antico. Period. Now, for what I wasn't prepared for: 



So immediately, the menu seemed way too complex to be a pizza shop. I get it...they want to keep the integrity of the Italian theme and ingredients, and I dig it, but it took me way too long to figure out how to order the pizza I wanted. Even with the help of the staff, it took a while for me to understand. There aren't any substitutions, so what you see is exactly what you get, and you will deal, or you will go elsewhere. At some point, I believe folks will just go elsewhere. You cannot customize your pie in any way....again, WYSIWYG (what you see is what you get). I asked about having a pie with half marinara, and half ""white"" sauce, and was told that wasn't possible. That was disappointing. And again, I get designing a menu for an experience, and wanting the patron to have the most authentic experience possible, but I also want the freedom to make my own choices with my pie! LOL LOL. I was also disappointed that there was no fountain drinks....yup, only bottles, and no ice....seriously...you don't have ICE for the drinks? Yes, they are cold, but again, what's the issue with having some convenience. Finally, the price point is pretty high for pizza. I ordered a margherita pizza and added pepperoni ($4 upcharge), with a Coke Zero.....I paid over $29! The pizza easily feeds 3-4 people, depending on how hungry you are, so don't go alone!"
,,,,,,,,,"We ordered the San Gennard, which has sausage, peppers, bufala cheese, and cipolline. The pizza only comes in one size and it was just the right amount of food for 2 hungry people. 



This was one of the best pizzas I've ever had. I loved that the crust is so chewy and fluffy and the pizza dough was also chewy. Not too much cheese and the crust was nice and thin. I loved that the dining area is mixed in with the oven area and you can watch them bake the pizzas. I've had pizza in Italy and this pizza tastes just as authentic and delicious. 



The pizza came within 5 minutes after ordering and I also love that there are no plates and you just eat right off the trays. Instead, they the option of using a fork and knife and plenty of paper towels. 



One thing I didn't get to take advantage of is that you can bring your own wine to pair with the pizza at no extra charge! This is definitely something I'd like to try in the future."
,,,,,,,,,"San Gennaro (sausage, pickled red peppers) and Sophia (truffle oil and mushrooms) Pizzas. 



These two pizzas together will MAKE your night.. heck make your week! 



The first time I came here, my husband and I were WAY over zealous with that raw garlic and could still feel that garlicky glory the next day, so now we know to self- control with those toppings. But do try the garlic; it's amazing. Def ask the guys for extra basil too and sprinkle it on everything! 



BYOB and don't come during the rush hours (after 6 pm) unless you want to hover, hover, hover using hawk eye vision, finally snatch a seat, and then be hovered over by other hoverers while you eat . Get's loud and chaotic in here during peak hours. 



We always bring out of town visitors here because... well it's the best! Parking lot sucks and is small, so just turn RIGHT when exiting the parking lot and there is street parking along that side."
,,,,,,,,,"Great pizza, so many choices, we had the sausage and sweet red pepper , it was very good , the only thing I did not like was the sausage was in big chunks and fell off , it would be better to use smaller bits so it would spread the flavor and stay on your slice, we lost some of the sausage because it rolled off on to the table and floor. 

Still a great place , quick and fair priced with great taste."
,,,,,,,,,"Oh My Goodness, where do I even begin!!! Met some good friends here for dinner. At Antico's you can bring your own bottle of wine, no corkage fee. Where can you do this for free? Every other place will charge you at least $10. 



Well let's talk about the venue. Antico's is the ultimate in casual dining. Oh and let me state there are no plates, only plastic knives and forks and paper towels. Believe me I'm rethinking the need for all of the dishware I own?!?!? 



You come in and stand in line to order your pizza. We ordered the Margherita: san marzano tomato, buffalo, basil, garlic - D.O.P., San Gennaro: salsiccia, dolce piccante pepper, bufala, cipolline and the Verdura: brocolli rabe, mushroom, pomodorini, garlic. 



Each pie was better than the next. All natural ingredients, perfectly cooked. Almost instant service. 



Antico's does not only serve great food. It is an eating experience!!! When in Atlanta make sure you get to Antico's!!!!"
,,,,,,,,,"Definitely overrated. My pizza was very salty, too oily and I had lots of cartilage in my salsiccia. 

I paid $24,50 for it! Insane. Furthermore, they all seem so blasé here. 

A good pizza is not junk food. This was just that."
,,,,,,,,,"Pizza tasted a lot like the pizza I had in Italy. Quick fast service. Trendy place. Nothing fancy. If you order water, grab bottled water out of case. Otherwise cups on table for tap water!"
,,,,,,,,,"Best pizza in town! Had a picky 6 year old with me and he killed his Pizza. Casual atmosphere, the service was a little off. We asked if the pizza could be half plain cheese because both kids wanted something different. Instead of a simple no we got a rude attitude. We will still be back. Food was 5 star service was a 3-4."
,,,,,,,,,A must do in Hotlanta!!! Real deal Italian pie cooked in one of the three wood-fired brick ovens. You know it is legit when the ovens each have names.
,,,,,,,,,"Everything it was cracked up to be 

Authentic 

Tasty. Italian. 

Definitely will return"
,,,,,,,,,"I'm allegedly on a low carb diet, but this is a perfect spot to have a pizza party with your best friend(s), and if you secretly go by yourself, then your bff would be jealous. Antico's pizza is delicious, and its sister restaurant next door, Gio's, is even better. I especially like the peppers in the chili pepper oil, but watch out, it will make the booty burn. Downfalls of this place are the lack of seating and the prices. Why is a pizza $20 plus dollars these days? I feel like a senior citizen reminiscing about the old days, but I remember when eating pizza was a way to get a cheap dinner. Nope, not anymore, unless you get $5.99 Dominos delivery (totally brilliant idea). But, if you want gourmet Neapolitan style pizza with premium Italian beer, you're walking out the door at $60 for two people."
,,,,,,,,,"The whole vibe of Antico is my jam. 



Picture a bunch of farm style wooden tables with multiple seats. 



They don't don't have servers or a bar but byob is fine by me and I love that you can grab a couple plastic cups and sit at a table with friends to wait (not long) for your delicious thin crusted slab of cheesy carb-y goodness. 



We always order the Diablo pizza that has spicy calabrese peppers and spicy meat. It's literally life changing. 

Having the small condiments bar in the 'kitchen' to grab extra toppings is key. 



Raw garlic & extra calabrese peppers? 

Yes please! 



They open stoves from Italy are a great landscape to the true Italian pizza and flavor unmatched by any pizzeria or joint in Atlanta. 



Just returning from Amalfi and Europe and sampling pizza from every location visited I can't help but compare to Antico and siding with my hometown favorite over the county that it originated from. 



There is genuinely no place like home. 

Or like Antico. 

Just go!"
,,,,,,,,,"Not really sure HOW this doesn't have 5 stars... BYOB, fair priced pizza that will knock your socks off. I think the inside environment is really cool. It's fend for yourself but tables turn over quickly. Not great for large groups for that reason... you have to really fight. But for 2-4 people it's not a big deal. Love it. Location isn't like terrific or anything, but it's not that hard to get to. Parking is a pain... I recommend looking for a spot in the neighborhoods. So much easier to get in and out and the walk isn't that bad!"
,,,,,,,,,"I'm going to go ahead and give this place 5 stars despite a few drawbacks, mainly because the pizza was delicious. 



When we arrived, there was quite a line and nearly all the community seating was taken. We placed our order and then stood like vultures next to a table until someone left, but surprisingly the turnover was good. Thankfully, we had brought our own bottle of wine which we opened (no corkage fee) and had a little pre-pizza drink from the complimentary plastic cups. 



The pizza that we ordered, the Diavola, had red sauce, hot peppers, and spicy sorpressata. It came out on a large tray and we huddled over it as we devoured it. The dough was downright divine, slightly crusty and blackened around the edges but still soft somehow. Toppings were nice too. Pizza was definitely 5 stars. Will come back again. My wife was even asking what we are doing later this week kind of good. 



The only down sides is that it's a little bit crowded and loud, which probably prevents it from being an optimal experience. The back room is fun because you can see the pizzas being made, but you just end up having to yell at the people you are with. Maybe on a weeknight it might be less crowded and loud, so I'll probably try a day other than Friday next time. Maybe this upcoming Monday...."
,,,,,,,,,"I've traveled around the world eating pizza and this place is still in my top 3 favorite places. After Anticos opened there many imitators tried to copy but I don't think they can quite match the quality of ingredients and consistency of their dough recipe (the chewiness and slightly salty taste). 



What to order: The Diavola Pizza is quite possibly one of the single best quality food item you can order in all of Atlanta. 



The midtown location is also better than the Avalon location due to a more aged oven in my opinion."
,,,,,,,,,"I used to love this place. The food was excellent. However, it seems that quality control has gone down significantly. All of the cheese was on one side of the pizza, and spinach is clumped up on two slices. So, there were two good slices. 

They do an excellent job with the dough with the perfect thin crust, and I love the red sauce (however they seemed to only get one side of my pizza... so there were only two good slices for @$26...)."
,,,,,,,,,"Why has no one told me about this place?! 

Pizza is amazing! It's absolutely delicious and the crust is light and tasty. Toppings are fresh and made with TLC. Would definitely recommend this place!"
,,,,,,,,,"Best Pizza in Atlanta hands down! You order, sit and the pizza is out in 5 minutes. There's no plates so you eat right off the pizza tray or on a self made napkin-plate. I normally don't eat the entire crust but the dough Antico uses (double zero?) is soft and chewy so I end up eating everything. Atmosphere is really casual, just pick any spot next to a stranger and dig in! 



The only free beverage option is water directly from the community sink, so I recommend bringing your own or you can always purchase it there."
,,,,,,,,,"Overview 

Grab a slice without the guilt of 'wasting a meal' - not your grandmother's pizza 



Pros 

Best pizza I've ever had - anywhere. And I hate to use superlatives. 

Pizza comes out consistently in less than 10 minute 

Atmosphere: brick oven pizza kitchen meets friendly, shared table cafeteria 

BYOB 

Calabrian chili peppers are bomb 



Cons 

Bad rap with fair wages a few years ago 

Drinks are expensive - so BYOB"
,,,,,,,,,"Classic Roman-style pizza - airy, chewy dough, very thin crust, and simple yet delicious toppings. Wouldn't say the pizzas are particularly mind-blowing but they are very solid, well-made pizzas. The sizes are pretty huge, so this is a good place to come with family or a group of friends. 



I love the decor and layout of the restaurant. Rustic, casual and artsy, the dining place is a large common area with long tables and a semi-open kitchen, where you can see the entire pizza-making process. Service is efficient, with the pizzas being served in less than 10 minutes after the orders are placed. I heard this place is super popular (as evident by the number of reviews) and gets very crowded at times."
,,,,,,,,,"I think this is a 5 star pizzeria, but I have to rate it a 4 based upon my one and only visit. 



First off, this place was cool. Authentic Italian pies made right in front of you from a team of pizza chefs. Fresh dough and ingredients served fast. 



The dining area is made up of large butcher tables in the kitchen, arranged in a group setting. The pizza arrived in a large metal baking pan, which was unique and contributed to the positive classic experience. This just felt like I was participating in pizza history. 



The only reason that I didn't rate this a 5 is because I ordered the wrong pizza for myself. I ordered the Diavolo, which was spicy hot. Normally, I am ok with this, but I just didn't prefer the Tabasco style flavor. 



I will definitely go back again when in ATL, but will just order a different pizza."
,,,,,,,,,Boo Thang took me to Atlanta for my Birthday to see the Solar Eclipse. We had a lot of hardship during this trip but this place wasn't one of them. Luckily We got there just before the total rush and our pizza came out super fast :) and our recommended pizza was hella yummy. we got the San Gennaro we had to eat and go so it was good for us but would not recommend for people who wants private tables. Just get it to go. Pizza is good.
,,,,,,,,,"The pizza is fabulous, great toppings, cooked to serve, and doesn't leave you feeling totally stuffed (unless you eat the whole pizza alone lol) but if you go to the West Midtown location, get it TO GO! The seating is limited and it is SO HOT being crammed in the back by the kitchen sitting at community tables that are typically over filled with both sitting and standing guests. Your best bet is taking it elsewhere to eat. Simply because I don't know many people who enjoy sweating while eating and being crowded in by strangers that are both standing and sitting on top of you. Not to mention you have to yell across the table to make conversation with your date or friend. All in all, great pizza for a decent price but not a great spot for a date night."
,,,,,,,,,"Antico has the most unbelievable and amazing pizza in the south! If you are a pizza snob, then look no further, Antico is crazy good. The restaurant itself is crazy.... well just plain crazy. As one of our family members described Antico, this is not just dinner, this is an experience. I honestly do not think they meant it to be a real compliment but if you know what you are in for and you are prepared Antico can be a real good time. If you are not into crazy, then just order your pizza to go. You walk in and place your order from a line, then you find a spot at a community table and wait for your number to be called for them to bring your pizza to you. The place is loud, real loud and super busy on a Saturday evening, but well worth the chaos. I wish I would have known you could bring your own bottles of wine or beers because so many people had bottles and were sharing in the little plastic cups stacked up at every table. The only drinks you could order included bottled coke products, a pretty good selection of wines, and Peroni was the only beer. So we went with a coke zero and 5 Peronis for our group. We sat in the back room so we could watch the pizzas being made and we were entertained and impressed. They have it down to a science. The dough is spun and pressed out by experts, then stacked with cheese, a little sauce swirl, then the toppings before being slid onto a waiting pizza paddle then into the wood fired ovens and viola, a few quick minutes later you have your pizza. We ordered the margarita plus artichokes, and the San Gerraro. Both were amazing and as we watched them make the pizzas we decided a calzone and Diavola was definitely on the order list for next time. We almost ordered more because our family could not believe how good it was although the two pizzas completely stuffed the five of us. Our dad, who prefers fine dining or at least a place that provides plates and silverware, was a little horrified that the pizza is brought out on sheet pans, placed on your community table, then you tear off paper towels to use as a plate or just eat right from the sheet tray with your hands. However, one bite of this amazing pizza and the ""ambiance"", or lack thereof,was all forgiven. I wish I was closer to Antico to go more often, but probably a good thing I am not because I would go all the time. Cannot wait to go again."
,,,,,,,,,"True Italian pizza in the heart of Atlanta. Though it is expensive, it's worth the experience if you've never been. Be prepared for a line and a wait for a seat if you're dining in. The staff is very no frills and can be a little rude but I think it's just due to the amount of people they are dealing with. I prefer to get it to go so I don't have to deal with that! Parking can be a challenge on busy nights but they do offer valet."
,,,,,,,,,"Okay, so I am pizza obsessed and although I love to cook, we eat pizza at least once a week. (doesn't everyone just get those crazy cravings? no? oh. ) 



I had a hard time rating this place please because everytime I go it has been different. The first 2 times I was very unimpressed... the crust took about 40% of the pizza and one slice was almost entirely a crust bubble! Their pizza is delicious and their crust is a perfect mix of chewy and crispy but I did not pay the money for bread. So the 3rd time I came prepared and asked them at the front to make sure there isn't such a huge crust. He suggested I ask for extra sauce and cheese to make that happen so I did... well the crust was again too large and then the pizza was soggy. 



It seems like all I am doing is ranting so why the 4 stars? BECAUSE ITS FREAKIN GOOD! The 60% pizza I got, in all its glory with toppings and sauce, was so good I could easily finish a whole pizza by myself. I will continue to come here and beg that I don't get such a crustful pizza, and one day, my prayers might be answered and I think I will have found the perfect pizza. 



I am a fan of the ambiance, being a lover of all things food and cooking I don't mind being in the kitchen. As for communal eating, it's always fun for me, I love talking to strangers! There was that one time that I had a few words with the 7 months pregnant lady sitting next to me, downing a whole bottle of red wine... but we won't count that! 



Watch out for the line to order when it is cold outside! You might get stuck standing outside but the smell of their delicious pizza will keep you content. This is not my favorite in the A but they are soooo close."
,,,,,,,,,"I was told by my niece tha this is the best pizza in Atlanta, better than what you can get in Italy even! I have not been to Italy, so i cannot corroborate that statement. Regardless, it was really good. Had the Diavlo pizza, which was a combo of spicy soppreseta, buffalo mozzarella and something else tasty (pepperonata). 



The pizza was great, although my favorite is still Urban Crust in downtown Plano Texas (Yee Haw). After having several awesome IPAs at Ormsby's, coming here and having to drink a Peroni was a let down, but I slugged through it and I took one for the team. The pizza made up for it. It was awesome. 



The place itself is cool, with communal seating, and from the taste of the pizza, I can understand why it is so popular."
,,,,,,,,,"When getting ready to travel to Atlanta earlier this year I began researching the best places to eat. One item we wanted to find in particular was the best pizza in Atlanta. Several websites pointed me in Antico's direction and I'm so glad I listened - not only do I believe this to be the best pizza in Atlanta, I'm willing to bet this is the best pizza you will find anywhere. 



First of all Antico's can be found on a corner in right in the middle of ""Westside Little Italia."" It's adorable! There's 5 places all affiliated with Antico on Hemphill Ave. 



Once inside, the atmosphere is pretty amazing, it's small, a little warm but you sit aside the crew making your pizza in authentic pizza ovens straight from Naples in Italy. Smells of basil and garlic swirling through the air. I found out later that Antico is BYOB which would have been awesome to know prior to visiting so I wanted to make sure and share that here!! 



The many reviews and sites I scoured pointed us to two pizzas in particular, the San Gennaro and the Lasagna. Both were out of this world!! The crust is perfectly crispy with just the right amount of char but also soft and chewy. Toppings were flavorful and plentiful, while cheese was fresh made and delicioso!! 



Antico's is a bit on the pricey side but it's worth it because it's damn delicious and after your pizza you can head over to the Gelateria for some dessert!!"
,,,,,,,,,"this place was recommended to me by one of my friends and yummmmmmmmm! Small menu, very simple ingredients, fresh, HUGE, but delicious! One whole pizza and can feed about 2-3 people and the slices are...yeah, huge. price range, around $19-22 



We went in when it was not busy and our pizza came out pretty fast! they actually bring the pizza to you by calling out your call number so make sure you hold on to your receipt and pa close attention to your order number! 



My friends and I ordered 2 different pizzas: the Diavola (spicy sopressata, pepperonata, bufala) and MARGHERITA D.O.P (san marzano tomato, bufala, basil, garlic) its hard to choose between those two which one tasted better, but in my opinion, both were the winners!"
,,,,,,,,,"I just got dinner here to celebrate my roommate's birthday. The pizza was delicious albeit a little more pricey than the average pizza. 

The atmosphere is very laid back and the big tables are great for groups. 

Pro tip: The BYOB is great but bring your own cork screw!!"
,,,,,,,,,"You will love this place as long as you don't want Pepperoni and Mushrooms on the same pizza.....because you can't have it. I'm serious you can't. They won't sell it to you and they won't make it. No you can't buy the mushrooms on the side, no you can't pay extra. They refuse to do it!! I personally don't get it and they won't get my money ever again!!!!"
,,,,,,,,,"I don't know if I can quite give Antico's my highest recommendation but I will say the pizza is great. My wife and I visited recently and ordered the San Gennaro, which came recommended by the cashier (side note: I see quite a few people have mentioned the service was bad, I thought it was perfectly acceptable). We sat at a large table with several other guests and chatted with everyone until our pie arrived (about 10 minutes). The crust really sells the pizza; it's chewy with a slightly charred outside and excellent flavor. The sweet peppers complimented the salty sausage well. Cheese was on point. 



I also really liked the condiment bar. Located near the kitchen is a small counter top set up with cheese, pepper, and minced garlic. I used a little of all three on every slice and it was magical. 



One of my gripes has to do with drinks, but it's a minor one. The drinks were expensive so we went with water. We could not locate any ice and had to walk back near the bathrooms and pour ourselves tap water into these tiny disposable cups. In other words, I had to make a trip every five seconds to grab room temperature tap water. Not really a huge fan of that. Since everyone sits together at giant tables, carafes or pitchers that could be shared would really help out! Bonus points for being BYOB, though, and I will take advantage of that next time. 



My bigger gripe has to do with the fact that, despite it being delicious, the pizza gave me the worst stomach cramps in recent memory and quite a bit of digestive distress. I'll give Antico's another shot but I'm hoping to not have a redo."
,,,,,,,,,This place is so awesome I really like their pizza. I enjoyed their pizza so much that I would come back every time I come back to Atlanta.
,,,,,,,,,Delicious wood fired pizza! Casual and fun atmosphere. Stopped here as I traveled through the area. They have a great drink selection but it's also open to BYOB which is cool! I was here on a Sunday afternoon and ran into a lot of Atlanta Falcons fans and a few players. If it's good enough for professional football players then I'm game for that!
,,,,,,,,,"This place is definitely an experience. They are located in Little Italy and are serving up authentic Italian style pizza. Although I liked the taste of the pizza and the communal style eating was cool. It is definitely not the best pizza I've tasted in Atlanta, but it rates in the top 5. I was not a fan of the lack of pizza variations. I guess I've been spoiled by chain pizza establishments where I can get multiple topping choices on my pizza and so I was not thrilled about paying $26 for a pizza that I could only have one meat, either pepperoni or sausage, on it. Also, it is one size fits all. You can not choose small or medium, only large. The seating is quite limited which makes the communal style, catch as catch can seating and eating a bit cumbersome, especially if you come with a group. The pizza comes to your table via a large silver pan. There are NO plates and the cups and cutlery are plastic. Also, when I asked for some water I was directed to the sink that was off to the side of the room. Now, on a great note, it is BYOB! That is a major plus!! So, you will see people bringing in bottles of wine among other things. Lastly, I loved that the kitchen was open so we got to see the chefs tossing the dough and preparing each pizza by hand. I've been told that they close once all of the dough has been used up for the day, so don't wait to late to come and dine!!"
,,,,,,,,,"Very real Italian style pizza. Bit pricey. Cashier girls are not nice, they think all customers supposed to know their menus before come. 

I like the style that feel like eating in their kitchen, also listening loud Italian music. 

BYOB, no plates(use brown roll paper), get ""to go box"" by yourself from box stack. You will have different experiences, but their pizza is real McCoy."
,,,,,,,,,"OVERRATED. I apologize in advance to whoever's favorite pizza place this is but Antico is nothing special. 



I had seen so much hype about Antico on Yelp that I thought I'd give it try. They do not have single slices so you have to order a whole pizza (they only offer one size). I ordered the most popular pizza, San Gennaro ($22) to-go. I called ahead to place my order and gave the women my name. When I went in to pick it up the woman at the register said that they don't take name they give you a number and even then they don't start cooking your pizza until you come in and pay for it. So basically don't think you're going to save any time by calling ahead. 



The restaurant had a pretty cool layout. It was community-style seating right next to the ovens so you can see the chefs making your pizza. It's also a BYOB spot. 



However, when I got home I was surprised by how basic and un-exciting my pizza tasted. Initially I didn't like it at all because I wasn't expecting it to be so sweet and there were no more than 5 pieces of sausage on the entire pizza. But I stuck my pizza in the oven for about 10 mins to get it crispy and it tasted a little better. The pizzas in the restaurant looked like they we're cooked crispy however the to-go pizza was as well-done as Domino's. 



Overall, very regular pizza. Nothing exciting. I'll stick to Fellini's."
,,,,,,,,,"Antico is seriously as good as it gets. The line was super quick although the place was packed (dont let a busy crowd scare you away), my friend and I asked a couple questions about the pizza, then asked for a crowd favorite, ordered it, grabbed some beers and quickly found a couple empty seats around the big table. I love family style eating and talking to perfectly good strangers while eating amazing food, so this was just up my alley! 



Pizza came piping hot less than 15 minutes later, and first bite- HELLO LADY. Changed my life, the cheese, sausage, and light sauce, thin crust, i'm drooling.. 



Eat here for your next meal, and tell me thank you!! 



Salute!"
,,,,,,,,,"I heard about this price and the story behind is owner, so once in Atlanta I try it. 

Pizza is really good. It looks like you are wrong in your grandmother house !"
,,,,,,,,,Best pizza around but be prepared to wait. Communal seating can be stressful- highly recommend going during off hours. Diavola pizza is worth it though!
,,,,,,,,,I absolutely love this place. The pizza is always good here. Service is great. They have indoor and outdoor seating. The place is always clean. Yes to Antico Pizza!
,,,,,,,,,"Fresh flavors, BYOB, fun open atmosphere. 



Be prepared to wait in line to order your crispy thin crust masterpiece -- maybe drink your wine while you wait! Initially, I was concerned that because of the thin crust, we would need two of those bad boys to fill us up; we were advised otherwise and we shared a single pizza -- which was enough to fill our tummies. Little surprised on the cost-to-size of the pizza. 



Even for take-out, while you wait on your pie, walk around to the open kitchen area to stock up on cups of add-ons (grated parm, peppers, pepper flakes, etc.) to enhance the already yummy flavors. 



This may not be the *best* place to 'sit and hang out' after you finish the food, because chances are, someone else will be looking for a place to eat their food."
,,,,,,,,,"There's not a lot to add to ~2500 reviews of this pizzeria, but heck, I'll put in my two Euros. It's just scrumptious pizzas and tap water from a sink/BYOB at Antico. Order at the counter, tip with cash, sit down next to strangers, and keep your ears open for your number. 



I've noshed on these three pizzas, in order of most favored to somewhat less favored: 

San Gennaro (salsiccia/sausage, dolce piccante pepper/peppadews?, bufala/mozzarella, cipolline/onions) $22--My favorite so far, but I've been eyeing the lasagna for next time. Excellent sauce, yummy sausage. Liked the peppers. The crust is superb. 



Napoletana (broccoli rabe, salsiccia, bufala) $21--This pizza doesn't come with tomato sauce. I missed the sauce, but I really liked the huge hunks of sausage and felt semi-healthy for eating vegetables. Recommended. 



Diavola (spicy sopressata, pepperonata, bufala), $22--Spice lovers, this is your pie. A little too hot for me, but those with more tolerant tongues will be pleased. 



Pizzas are slightly salty. Antico chars the crust a bit so you will end up with sooty smudges on your fingers, if you're not a knife and forker. The pizzas are thin and have about eight slices to a pie. A person could eat roughly half of a pie; the pizzas come in just one size. 



Don't show up too late since the dough sometimes runs out. The women taking your orders and bringing you your pies are detached but not rude or anything. There is a wee parking lot right in front of the entrance, and there's a bigger one that wraps around the building, with the entrance on Ethel Street. If you leave guns and take cannoli, head across the street to Caffe Antico for their freshly-filled, custom-made ones."
,,,,,,,,,"This was probably one of the most stressful pizza-eating experiences I've ever had. 



And I'd do it again. 



Because it's GOOD. Thin, slightly charred pizza that comes out within a few minutes? Check. Toppings? Check! BYOB? CHECK! 



My boyfriend's family and I went on what I can only assume is Atlanta's official Pizza Time, because Antico was packed. We didn't wait in line too long and ordered two pizzas. We headed to the main dining area (with the open kitchen) and stood by the walk-in freezer for a few minutes, as every table was full. (If you are sitting at a table, it seems that the general rule is to avoid eye contact with standing folks waiting to be seated.) Our pizzas came out; panic set in - we were still standing. 



A member of the kitchen staff led us to the back ""table,"" which isn't really a nice table. It's steel and there are no chairs/stools. But there are paper towels and utensils, so we didn't complain! The pizzas were outstanding and the toppings my boyfriend's dad got were red pepper flakes and raw, minced garlic - excellent options! My favorite was the margherita with pepperoni. I'm a self-proclaimed pizza snob and I already can't wait to get back to Antico!"
,,,,,,,,,"This is my first experience coming here and I have to say it's not bad nor it is amazing. I was really hyped up on coming here but after trying it out I'm not going to drive out of my way to eat here. 



The thin pizza came out the oven and they put the cooking sheet with the pizza on a cold metal pan. Whatever hot crispness of the pizza was gone after 5 minutes sitting on the pan. 



For a $20 San Gennaro pizza, I was greeted with maybe 10 pieces of sausage. The sausage was very high quality but I thought they skimped out on the. The overall flavor of the pizza was great. The dough was actually cooked well without any traces of raw dough. 



Water was free but it literally came out of the sink faucet. 



There is only 1 bathroom so if you need to go on a busy day, be prepared to wait 5-10min. 



The front cashiers were very friendly and helpful. They were able to answer all the questions I had without a problem."
,,,,,,,,,"The cashiers must be related to the owner and they can't get rid of them. 



Antico cashier training lesson one: never smile. 

Lesson two: glare at the people about to hand you money. 

Lesson three: look miserable. 



Sure, the pizza is good. But if you live in Atlanta you probably have a good pizza place close to your house. Is it worth the drive to this part of town and struggle to find a parking place? Not when you're going to be met at the cash register with attitude. 



It's been this way for a while, that's why I assume the cashiers are relatives or have naked pictures of the owner or something. Can't imagine why anyone would hire them. 



We go here about once every six months when errands put us in that part of town. Otherwise, I can find plenty of good places that seem happy to receive my business."
14984780,3,5,10,10,10,10,10,9,"Thin crust, pizza. Don't like thin crust, this is not your place. Pizzas cost roughly $20-26, depending on toppings, each feed about 2 people. the pizzas come out fast and hot. This place doesn't joke around. We came here on a Monday, around 4pm and there was no wait. Early bird gets the warm! We ordered in 5 mins, and got our food within 7 mins. 



*Bring your own water, unless you want to drink from tap* 



The food here is amazing, it has the right amount of toppings/crust ratio, It doesn't have the feeling of feeling bloated after eating the crust. The toppings aren't stacked like other pizzas, but enough to get the full taste of the pizza. I'm visiting from Seattle, and I wish we had this back at home. I'll miss this place."
,,,,,,,,,"Cool and unique place. You order pizza at the counter (only available in full/large pies). Then u sit at large (community/shared) picnic tables and they bring your pizza. The food was above average taste. 



Parking and seating are fair, and may be tough to find in ultra busy times."
,,,,,,,,,"Best pizza in town. Period. 



I can't say enough good things about this place. Great food. Fast service. Bring your own beer or wine. The new guy in the front scratched his head for a good minute I mean really dug his nails into his scalp then offered to cut my pizza. I said no thank you. Also, the cashiers in the front could take a class or two on customer service but other than that the place is a must visit. 



Get the San Gennaro and the Sophia. My wife and I get a pie each and save the leftovers for breakfast. Nothing beats cold pizza."
5131362,13,5,10,10,10,10,10,10,"This place has great Neapolitan pizza in Atlanta. I am from NY and I will really only eat pizza here and at O4W pizza (and I guess Fellini's in moments of true desperation...). The San Genaro and Diavola pies are both delicious. I also love the condiments station that has wonderful imported olive oil, spicey pepper oil and fresh basil. You order up front and then you eat in the back on long communal tables that are basically in an extension of the kitchen. The pizza's come out on huge baking sheets and REMEMBER that it is BYOB. The atmosphere can feel a little loud and chaotic but in this case it really adds to the fun of the experience."
,,,,,,,,,"One of the premier pizza places in all of Atlanta! Love the way they prepare the dough, reminiscent of NYC italian pizza houses. Very flavor full and packed with fresh ingredients and toppings. The only reason it didn't pull a 5 star is the hefty price tag. That does not reflect how truly delicious the food is though. Very asthetically pleasing and nestled in the GA Tech corridor, this is a place to impress guests and leave a lasting impression. I will admit that the staff had a bit of an attitude, but that just adds to the ""new york"" feel (I guess). Once you get past that, the food is heavenly! Great calzone, but when we asked to add sausage, we were told no... (huh?) Still a 4 star delight nonetheless. We will be back...oh, and pro tip- bring your own paper plates."
,,,,,,,,,"Had four separate pizzas there today. Each was cold when we finally got them (surprising since we ate in). All had the required toppings - just not very much or in any type of even distribution. It looked as though a four-year old had randomly thrown the peppers on one part, sausage in another, etc. we had to pick them off so each in our party could have a sampling in their slice. Finally, the dough was not only soggy, it was extremely tough (not chewy). 



It may be trendy to many, but it certainly didn't impress me."
,,,,,,,,,"Consistently one of the best pizza places in Atlanta. Any time I'm in the area I will stop by. 



I recommend the San Gennaro. 



And the best part is that it has led to the elevation of the pizza game in Atlanta. We have more great pizza in Atlanta than ever before."
