room id,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
,,,,,,,,Everything was as described and the logistics were very easy for the house.  The place was outstanding and the location was unbeatable. The patio is like a small oasis in the downtown area where you can see the skyscrapers peering out over the trees in the backyard. I'll be back for sure.
,,,,,,,,Adam was a great host! Would be happy to stay with him again.
,,,,,,,,The perfect place for a little Austin getaway! Adam was quick to respond despite our last minute booking and ensured the place was PERFECT even though he was about to leave town. Would definitely recommend to friends and family! 
,,,,,,,,"Adam was a great host. The setup at his home was very well thought out and made me feel very comfortable. Additionally, Adam was easily accessible whenever I ran into any minor problems. His short response time was a delight.

The apartment itself was cozy and in an awesome location. Z Tejas and several bars are a very short walk away. Highly recommended."
,,,,,,,,"First off, Adam was super responsive to our request and easy to get a hold of.  But well beyond that, this place is just beautiful... full of natural light, charm and comfort! The kitchen is really well appointed and the deck is perfect for evening beers among the trees. The location near Whole Foods, the Town Lake trail and the entire Clarksville neighborhood is incredible. We will definitely be keeping this on the top of our list for Austin home-away-from-homes!!"
,,,,,,,,"Great location, close to some great facilities and easy to get downtown. For whatever is not within walking distance, you can just grab a taxi/Uber/Lyft as this is cheap in Austin. There are some truck deliveries in the area, so you may want to bring some earplugs if you're a light sleeper."
,,,,,,,,"Adam was a stellar host. Great communicator, gave us a bunch of information and pointers and the house was spotless. Very professional. Couldn't ask for more. Would definitely stay again!"
,,,,,,,,We had a fantastic time staying at Adams ! Its in a great location surrounded by bars and restaurants and only a little walk down to the main part of 6th street. The place was really well maintained and the perfect amount of space  for the two of us and Adam was only too willing to help us out with whatever we needed ! Thanks heaps for having us !!
,,,,,,,,This apartment was in a great location in Austin. The apartment was beautifully decorated and furnished. I would definetly stay again.
,,,,,,,,Great apartment close to Wholefoods. Nice location and comfy bead. The diner close by served excellent food. Greatly recommended. 
,,,,,,,,The house was accommodating and the location was perfect. Thanks!
,,,,,,,,"We really enjoyed staying at Adam's place. The apartment was perfect - comfortable, clean and well furnished. The location was fantastic as well, close to everything. Would definitely recommend Adam's place to anyone visiting Austin."
,,,,,,,,Great experience. The location couldn't be more perfect - easy walking around Austin.
,,,,,,,,We enjoyed our stay here! The apartment is in a great neighborhood and we loved starting our mornings with breakfast and coffee from Whole Foods. The main reason for our Austin visit was to attend the Austin City Limits music festival and this location was perfect for getting to Zilker Park. 
,,,,,,,,Adam was easy to work with and his place is really sweet.  It is in a wonderful location with easy access to some of the best spots in Austin.  
,,,,,,,,The apartment is so well-located! Everything is an easy walk or a couple dollars for an Uber. We were very comfortable and the place was spotless. If you want to be close to downtown this is the perfect place. 
,,,,,,,,The apartment was spotless and in the perfect location -- pretty central to downtown but in a relatively quiet neighborhood with lots of shops and restaurants near by.  Would love to stay here again next time I'm in Austin.  Thanks Adam!
,,,,,,,,"Good stay at Adam's place in Downtown Austin, the location was great. Air conditioning system was very much appreciated considering the heat, and it was wonderful having such a comfortable bed and clean surroundings. "
,,,,,,,,"Our stay in Austin was fantastic and I absolutely loved the apartment. It was very conveniently located, tasteful and comfortable. The balcony is definitely a treat, and we were really happy for the air conditioning in the summer heat!"
,,,,,,,,"Loved staying at Adam's place. 

Of all of my friends that flew into town for a wedding I think this was the best situated - near the action but far enough away to get some sleep. Having the 24 Diner across the road was perfect for late night snacking.

Adam was also helpful getting us a later checkout despite us asking quite late in the piece so we appreciated that. "
,,,,,,,,"Adam's place is great!! Right across the street from one of my favorite restaurants in Austin, 24 Diner. Love this neighborhood and would recommend Adam's place to anyone!"
,,,,,,,,"This nice, clean home is in a great location within walking distance of shopping, outdoor activities at the river, and nightlife.

We didn't get to meet Adam, but he made sure we had plenty of detailed information about arriving and the area."
,,,,,,,,"Accurate description, great neighborhood and we enjoyed our stay! Loved exploring Austin! "
,,,,,,,,Great place and Great Location. We would for sure stay again. Thanks Adam for the easy and comfortable s
,,,,,,,,"Great location, although it could get noisy at night.  Clean, simple space that worked well for my 4 night stay.  Would stay again."
,,,,,,,,"Adam's place is conveniently located on the corners of 6th Street and N Lamar, right across from whole foods. Most of downtown was easily accessible. I was able to jog to Zilker Park and the Bat Festival without any issues. Uber and Lyft will take you anywhere from here for only a few dollars. I felt like it was a safe area. The are a couple of downsides that didn't really bother me, it's located right behind a few dumpsters from the 24 hour diner, and there's a lot of road noise in this location. For the price though, and what I was using the place for (just to sleep and as an office) it was fine. I don't you'll find a better proximity to downtown for this price. "
,,,,,,,,Great place to stay for a trip in Austin!! We were just there for a couple of nights but the house is very clean and comfortable! We used uber drivers to get everywhere and they had no problem finding us!
,,,,,,,,I was pleasantly surprised with this listing. The view from the patio is exceptional! I lived in Austin during college and I was able to recreate a typical weekend with this location. Adam was lean and efficient with the booking. He includes every detail needed to make this a good stay. He even left fruit for us for free! This was a very pleasant stay.
,,,,,,,,"Great! Adam was flexible and lovely, and the apt was convenient and cute!"
,,,,,,,,"We had the best stay at Adam's place - it is perfectly located, and in such a lively area (but as quiet as can be at night when you're trying to sleep). Thank you for such a fantastic stay- we won't go anywhere else next time we're in Austin!"
,,,,,,,,"Easy check-in and all around stay. Adam's place is in a great spot, super clean and comfortable. Highly recommend. "
,,,,,,,,The apartment was bright and modern.  The location was superb.  Very comfortable bed. Great value.
,,,,,,,,Adam was a great host and made sure everything was clean and setup.  Will definitely stay here when i am back in Austin.
,,,,,,,,"Adam made us feel at ease about staying at this property. It was right in the heart of Austin which is such a wonderful trendy funky area. Great restaurants and cafes to enjoy great food at everywhere. Probably 10 minutes from Downtown and more importantly just across the road from Wholefoods! The apartment was well equipped with comfy bed, clean linen and facilities. It felt homy and trendy. Large enough to entertain if need be yet small enough to relax without annoying fellow traveller...... I would recommend this property without reservation!"
,,,,,,,,"Adam was so warm and welcoming! Quick clear communication. And was so thoughtful to our needs. The unit is so conveniently located to downtown area, and was so cleannnnnnnn and cozy. We want to stay here again the next time we visit Austin!! "
,,,,,,,,Adam's place was amazing. Will never stay anywhere else in Austin. His spot across the street from Whole Foods is an easy walk to lots of great spots downtown. It's a $4 uber ride to anywhere in downtown and Capitol area. Then about 3-5 miles from Barton Springs and all the great outdoors stuff Austin has to offer. He left us fresh fruit and wine and was around for anything we needed. He hooked us up with great restaurants and it felt like a VIP experience. By far the most pleasant AirBnB stay we have ever had. And best part: it was very reasonably priced. I'll soon be staying at Adam's other places in San Fran and Hawaii. 
,,,,,,,,"Both Adam and the apartment were excellent.  Adam was very responsive to my messages and check-in/out was seamless.  The apartment is in a perfect location as it is right across from whole foods, and just a short walk from many restaurants, bars and the river running trails.  I highly recommend this apartment for anyone looking to stay in the heart of all that Austin has to offer.  "
,,,,,,,,"This apartment was the perfect location for my trip to Austin. Walking distance to all the great bars on 6th street, yet far enough to enjoy a good night's sleep in this quiet neighborhood. Also, the whole foods nearby was a plus. Adam was a great host, being readily available to answer any questions or concerns. The literature about Austin and its restaurants provided in the apt were a big help in guiding our trip. Thanks for a great stay! "
,,,,,,,,"Adam was an extremely gracious host, he accommodated our request for an earlier check in and had fresh fruit and snacks in the apartment. He also gave us some really great recommendations for music and dining in Austin. The place was exactly as described and in a central location to the river, and walking distance from music venues and bars. I would certainly stay here again on my next visit to Austin."
,,,,,,,,Great Space and amazing location! Adam always responded right away to any questions I had. Highly recommend !
,,,,,,,,"I throughly enjoyed my stay at Adam's place. It is in a quiet area of Austin. It is easy to get downtown and there are good food places close to it.  

The apartment is extra clean and it was very comfortable and cozy during my short stay. 

"
,,,,,,,,Adam's place was great to stay at - very convenient location in Austin a $5 Uber ride to anywhere in the downtown area. Communication before and during the trip was great and the place was clean and within walking distance of a couple great restaurants and grocery stores.
,,,,,,,,"This apartment is in a perfect location and having worry free parking was a huge plus. Adam's home was perfect for our trip to Austin. The porch was such an added bonus, we had breakfast/coffee out there every morning. Loved that the place was walking distance to whole foods and shopping. Would certainly stay again:)"
,,,,,,,,"Adam was a gracious host and helped me with any questions that I had, even where to get the best pizza in the area.  The neighborhood (West Austin) is a great place to walk in and look at the homes.  The area has many restaurants and things to do that are walkable.
Adam let me bring my dog and I appreciated that very much.  Great size for a couple that wants to enjoy all that Austin has to offer."
,,,,,,,,"What a great place to stay!! We have stayed several places in Austin and this by far has been one of the best experiences. The location is ideal for those drawn to West 6th and the apt is located next to a 24 hour diner, and Whole Foods. The place was clean and crisp upon arrival and Adam even left us fresh fruit-what a great host. 

"
,,,,,,,,Great stay at Adam's one bedroom place off Lamar. The place was perfect for what I needed. Kitchen is well equipped for all your basic needs. Very nicely setup and clean - exactly as represented. Keycode entry makes coming and going very easy. Adam checked in by email during the stay and was most accommodating. I will return.
,,,,,,,,"We had a great weekend at Adam's loft in Austin. The location was perfect! It was just across the street from the Whole Foods and the really fun bars of West Sixth Street. The apartment itself was charming and a perfect getaway for us. Adam kindly provided us with a restaurant guidebook, drinks, and fruit. We will be back!"
,,,,,,,,"Adam is a great communicator and the unit is a great location. It is perfect for a couple or single to set up camp for a week. With the central location comes a bit of road and commercial noise, but fine for an early riser. The process was seamless and the unit clean. I hope to stay again on my next trip."
,,,,,,,,"Adam's place was great! Check-in was super easy and everything was clean and ready for our arrival. The place is a good size for two people and was nicely decorated. The location is amazing and there is so much to do within walking distance, we didn't have to drive anywhere. We didn't meet Adam, but he was very responsive to any questions we had and was overall a great host!"
,,,,,,,,"Adam was friendly and responsive, the rental is a great space, conveniently located, would love to stay here again."
,,,,,,,,"This was my boyfriend and I's first time visiting Austin and we are so happy we chose to stay at Adam's place. It is in a very good location (Whole Foods across the street was perfect!) and we were able to walk/bike everywhere. This ended up being super helpful since we didn't end up renting a car and we didn't realize how spread out everything is in the city.

Adam's place is just as it looks in pictures - it has everything you need and was very clean when we arrived. Adam was so quick with communication and answered our many emails asking him for recommendations which was super helpful!

Thanks Adam -  we look forward to staying here again!"
,,,,,,,,"This is a great apartment to stay at in an amazing location in downtown Austin!  Adam was very accommodating and welcoming.  The location is perfect! Just far away from the noise but only a 1 mile walk to the bars and restaurants on sixth street.  There are also city bikes you can rent for $8 a day with bike stations all around Austin, we were able to use these to explore the UT campus area and South Congress without having to catch a cab.  This apartment is also across the street from the flagship Whole Foods store, this was really convenient! "
,,,,,,,,"Great location, extremely clean, and an ideal alternative from any hotel in Austin.  Very well maintained and walking distance to great bars and restaurants.  Only negative...apartment backs up to dumpsters from these same bars and was awoken several times throughout the night with trash pick up and dumpsters being emptied.  Not as bad with AC and fan functioning, but was still heard nightly."
,,,,,,,,"Adam was very communicative via email/text prior to our arrival. Although we didn't get to personally meet him, he did check on us during our stay, which was nice. The place was accurately described and was in a prime location. We would definitely stay here again! Thanks Adam"
,,,,,,,,"Adam was very helpful during check-in, the email messages were concise and complete.  He also checked in to make sure we had everything we needed while staying there.  The apartment is a great little place, and is in a perfect spot for getting around town.  I would definitely stay here again."
,,,,,,,,"Perfect location right in the centre of Austin! Beautifully furnished and a quiet area. Great for relaxing and very conveniently placed near 24 Diner, Amy's Ice-Cream, Whole Foods and much more. Thanks for the coffee and the really comfy bed!"
,,,,,,,,"Loved Adam's place and the nieghborhood was very ""walker"" friendly. Downstairs neighbor was also very friendly the few times we crossed paths. Location is conveniently across from whole foods, and few miles from 6th street. There's also a 24 hr diner right outside. The apartment itself was impeccably clean, and complete with toiletries/ espresso.

*Would like to specially note: this was a last minute booking for us, and Adam was very helpful in accommodating us.

Thank you!
"
,,,,,,,,"Adam's place is in a fantastic location. There are multiple restaurants and bars withing walking distance and a whole foods right across the street. Adam was very hospitable and quick to respond to any concerns or needs you have. Fresh bowl of fruits, chocolate, couple of cans of beer in the fridge, and the Nespresso coffee machine were some of the extra items provided by Adam during the stay. I was a big fan of the small patio area upstairs where you could just sit and relax after a long trip. The rooms were clean and the bed was comfortable.  This is a fantastic 1br in a great location location and an accommodating host. Will definitely stay here again. "
,,,,,,,,"Adam's spot in downtown Austin is a true gem. Tucked into a lovely neighborhood, it's a perfect perch from which to explore the city--or watch it go by from the porch. Adam clearly has a great eye for design and the apartment is full of inviting little details that make staying there really comfortable. I was sorry to have to leave and hope to return--I couldn't have asked for a better place to stay!"
,,,,,,,,"Check in was so incredibly easy and the location is perfect. Across the street from Whole Foods and nestled next to bunch of really great restaurants, though if you're on bikes like we were everything is close by (if you haven't planned to rent some or know someone who can lend them to you DO IT!! Total game changer!) anyway...the accommodations were better than we could have ever expected! Fresh fruit, some beers and a locally made ginger perry in the fridge are a delight after a long morning of travel. The place is super spacious, bed so comfy, and the shower has Dr Bronners, shampoo, and conditioner already stocked for you! Communication with the host, Adam was beyond easy. Questions? Concerns? He's at the ready to accommodate you. Look nowhere else, this is the airbnb of your dreams!"
,,,,,,,,"Great place!  Super clean, nice layout, great location, highly interactive host.  I'll definitely use this spot again."
,,,,,,,,"Adam's place is a wonderful little place near many great restaurants and shopping.  Whole Foods is just a couple blocks away.  Super cozy with tasteful decor.  Perfect Austin getaway.  Adam is a great host, very friendly with prompt communication.  Will definitely stay again.  Thanks Adam!"
,,,,,,,,"I had such a wonderful stay at Adam's place -- he responded very quickly to any inquiries I had and even leave some fresh fruit and a few beers in the fridge for me when I got there! The apartment is in such a great part of town: you're right across the street from the best Whole Foods there is, in addition to a number of delicious restaurants that are just a short walk away. A PERFECT spot for 1-2 people who are looking to explore the city and want a quaint, home-y place to come back to. Would absolutely stay here again!"
8814439,4.5,10,9,10,8,8,9,A spacious and comfortable condo with all the amenities advertised.  The  location was great for us as we could walk to most places and had some great food trucks right around the corner.  Very quiet neighborhood too.
,,,,,,,,"My buddies and I had a great experience at this home.  I organized ""The Ultimate Guys Weekend"" which consisted of me and my old friends from college getting together.  We used this house as our base of operations for a long weekend of boating on the lake, eating out, hitting the bars, watching football, and watching the Longhorns beat Notre Dame in one of the greatest games at DKR ever.  The home slept 6 comfortably and there was room in the second bedroom for an air mattress.  There was plenty of room for storage and the kitchen was decked out with everything that we needed.  The huge television was great for watching the games and the big wooden dining table was perfect for sharing a huge spread of Franklin's BBQ.  The property was clean and had a really open feel on the inside.  The bathrooms were beautiful and roomy.  Also, we were able to park two cars in the driveway which was really convenient.  We walked to E. 6th street as well as Rainey St so it was really convenient to the local area nightlife.  I highly recommend this place and would definitely stay their again."
,,,,,,,,"House was very nice, well sized, and clean. I would highly recommend this spot to anyone looking to enjoy some time in Austin."
,,,,,,,,"The apartment was just like the photo's showed. It was nice and had a higher end feeling to it with open space, cool stairwell, and awesome master bedroom.."
,,,,,,,,"The house was everything and more my friends and I could have hoped for out of our trip to Austin.  Located in the heart of East Austin, we were just a few blocks walking from Restaurants and bars in the area.  Downtown and Rainey were about a 10-15 minute walk or a 5 minute $5.00 Uber / Lyft Ride away.  The house was clean, spacious and very comfortable for 6 people using the upstairs pull out couch.  The property is run by a management company which you can reach anytime via phone and email, we received responses within 24hrs of reaching out.   "
,,,,,,,,"House was great, clearly a full turnkey vacation rental."
11461480,5,10,10,9,10,10,10,Exactly as advertised. Carrie and Drew were kind and hospitable. The location is great for downtown access. 
,,,,,,,,"This room is in a not so quiet flat on a very quiet street. If the sound of people moving around bothers you I wouldn't stay here but as someone who's lived in the city I didn't mind it. The room is a good size and the bed while not the most comfortable is huge. The reason to stay here is it's close to a bcycle station, close enough to walk to downtown without staying there, close to some good restaurants, and the hosts give amazing recommendations! They recommended a Korean restaurant that was the best meal I had during my stay in Austin and a park to bike to that was the perfect juxtaposition to the busy downtown. Shower was hot and a good height, towels and sheets were clean, and they made room for me in the fridge (which I intended to use but didn't). Very accommodating on my later than expected check in time and were great with communication."
,,,,,,,,"I had a wonderful time staying here, it is as described and very local to downtown and the campus. Such a welcoming host, Caroline made the stay like a home away from home.looking forward to the next trip to Austin.  Thank you."
,,,,,,,,"What an awesome place, awesome location, super sweet and accommodating couple as host. I booked this place based on proximity to UT for the football game, but it ended up the perfect location for all our adventures. Carrie was sweet enough to compile a list of must sees, eats, a does from local friends. We could easily walk to the University, 6th Street, capital, and downtown. The room was huge and so welcoming. It was absolutely perfect for our stay. Thank you Carrie! "
,,,,,,,,"Caroline and her husband were the perfect hosts. They were there for advice on what to see, where to eat, where to drink, and offer anything else. Caroline defiantly went above and beyond our expectations for Airbnb. Their home is very welcoming, chic, minimalistic, and clean (the bed and linen are heaven). It is close enough to the city centre yet far enough away. We would stay here again. Thank you!"
,,,,,,,,Great hosts! I stayed at their place for 3 nights for a conference in Austin. Convenient access to the UT Austin campus and food places. The space was tidy and comfortable. Would stay again!
,,,,,,,,"host was present at my time of arrival, and was very nice.  the room was exactly how it was described and located in a very convenient location."
,,,,,,,,"Very nice people - very lovely surroundings. Thank you.
"
,,,,,,,,"        Our hosts, Carrie and Drew, were simply great! Friendly, warm and welcoming couple who helped us get oriented in Austin, and made great suggestions for places to visit and dine.
         Their home is very conveniently located, at a decent walking distance from all the great entertainment and restaurants in downtown Austin, and of the University of Texas at Austin.
(URL HIDDEN) Will stay with them if we ever get back to Austin!  Very appreciative to both of them for their hospitality! "
,,,,,,,,"Caroline and her husband were absolutely amazing. My flight got in late and they stayed up into the early hours of the morning to make sure I arrived safe and sound. They opened their whole house to me and made me feel so incredibly welcome. They gave me the space I needed to relax and conduct business, but were warm and engaging when I reached out to them. The house itself is minimalistic, open, and chic. I would absolutely stay here again in the future! "
15400050,5,10,10,10,10,10,9,Carlos was a great host and we had an awesome time staying at his place. Very clean and the location was perfect for exploring the night life!
,,,,,,,,"Carlos was an amazing host from beginning to end. All the logistics from start to finish were very easy to follow yet organized, clear, and detailed so that worrying about the housing for the trip was at a minimum. This allowed us to actually enjoy ourselves and the city. On top of that, Carlos went out of his way to provide us with recommendations on places to eat and things to do. You will not be disappointed with Carlos as a host as his place offers a luxurious stay in the heart of Austin for anyone who wants to have a good time! Thank you again, Carlos!"
,,,,,,,,"As advertised, really nice spot & super clean! Great host! "
,,,,,,,,"Beautiful, well appointed corner unit. Great views of downtown and right in the heart of new hip foodie/bar area. Would definitely stay here again."
,,,,,,,,Carlos was a great host...
,,,,,,,,Lovely modern place with an amazing view of the cityscape. Beautifully decorated. Carlos was very responsive and friendly and even let us in early to get ready for our wedding. Loved our stay here!
,,,,,,,,"Beautiful penthouse flat, fully furnished with everything we needed. Absolutely perfect location and a wonderful helpful host. "
13898867,5,10,10,10,10,10,10,"Brooke's place is in a wonderful location. We stayed there for 5 nights with our adult daughter and son. We had a great visit! We were in search of good food, drink and live entertainment. We sure found it! Brooke left a list of her favorite places and we tried most of them. It was awesome to be able to find what we were looking for often within walking distance. Some amenities were really close, but we even walked to ACL on New Year's. so...yeah, we like to walk.  The bonus for us was to be able to experience living in a quiet,  eclectic residential neighborhood that was not only conveniently located, but also full of interesting homes and green space. We loved that we could walk ""home"" at night and not have to deal with driving everywhere... or cabs.   We didn't miss a TV,  loved the Sonos system, and  the Wifi worked most of the time. Brooke was a very responsive host as we had a few questions while getting settled in. We would definitely stay at Brooke's place  again. "
,,,,,,,,"Perfect spot! Had a great time in this quiet neighborhood, still close enough to the action. Would stay again. "
,,,,,,,,"Great location on a very quite street but still in walking distance to restaurants, parks, and bars. The house is clean and spacious and has an awesome Sonos sound system. I would definitely stay here again!"
,,,,,,,,A great stay in a lovely part of Austin. Very quiet and comfortable and allows easy access to all of the city.
,,,,,,,,We had a wonderful stay at Brooke's home! She was very accommodating when it came to communication and made sure we were comfortable. The house was adorable and so perfectly situated between downtown and the park. We would absolutely stay there again!
,,,,,,,,"Had a great stay at Brooke's! Comfortable beds, clean, nice shower, and great location. Definitely recommend!"
,,,,,,,,"Had a great time at Brooke's place! The house was clean and comfortable for me and my 2 travel buddies with plenty of room. Although I didn't get to meet Brooke personally she made sure we had everything we needed throughout our stay. 

Her place is close to 6th which has a lot of restuarants and bars :) would recommend! "
15271035,5,10,10,10,10,10,10,"I had a great time staying at James and Esther's condo. The apartment is super clean, super cool and super convenient to anything you could ever want. Great hosts, great recommendations. 5 stars hands down."
,,,,,,,,"Killer location!  Great apartment.  Getting the TV to work was a bit of a struggle but who cares you are in Austin.  Liquor store, bars and restaurants are at your fingertips.  Really a great value!!!"
,,,,,,,,"If you're considering a stay in Austin and James & Esther's place is available. Just book it! You'll get hosts that are very communicative, fast to respond and super flexible.  You'll also get a clean, modern condo that is situated between East and West Austin so finding something to keep you occupied will be a breeze. I can even rave about their guidebook because I literally went to just about every place they recommended and wasn't disappointed a single time.

Basically what I'm saying is stop looking at other rentals, stop reading this review and hit the ""book"" button.  You won't regret it."
,,,,,,,,Very welcoming and attentive. Would stay there again. 
,,,,,,,,"James and Esther were very friendly and communicative with us.  We loved the apartment - cool design, nice light and windows, comfortable bed.  They also provided coffee, tea, and snacks for our stay.  Wifi worked great.  The location was the best part - on 6th st, just a block or two away from the bars, restaurants, and shops.  Walkable to downtown, 6th street nightlife, Rainey St, Town Lake/kayaking options, South Congress bridge bats.  South Congress is a bit of a walk, but you could do it.  The location is really top notch.  Plus, while the apartment is on 6th St, it is on a quiet block of 6th street so our sleep was not disturbed at all.  Overall, we really appreciated the location and the hospitality of our hosts.  Thank you, James and Esther for a wonderful stay in your lovely apartment."
,,,,,,,,"I stayed in James and Esther's condo for a week, and I loved the experience.  The condo itself was wonderful, and it was close to grocery stores, restaurants, and just a short walk to downtown.  James and Esther were both very communicative and anticipated my every need - I'd definitely stay here again."
,,,,,,,,"Great condo, very clean, and James and Esther were great hosts.  I would definitely stay again."
,,,,,,,,"James and Esther were incredible hosts. They were very easy to work with and gave great recommendations on places to check out and restaurants to eat at in Austin. Their condo is in an awesome location-- short walk to bars/restaurants, a grocery store, quirky Austin murals near E 6th St. It is also just a short drive to the other awesome areas in Austin like 36th St bars, UT campus, the Capital building, S Congress area, Rainey St, etc. The condo was immaculate and had everything we needed. Loved the decor too!"
9921660,,10,10,10,10,10,10,"This was a beautiful home and perfect for my group. It was clean, very spacious and in a good location. Suzanne responded quickly and was wonderful to work with from the start. I highly recommend this house if it's available! "
14864234,4.5,9,10,9,9,10,9,"James was very communicative, he answered all my messages quickly and completely. He was very accommodating when I had a last minute schedule change, and he helped me with a  special request. Really a great host.
The apartment is almost literally on UT campus, so very convenient for game day. The bed and pillows were very comfortable. 
No TV, not sure if there was wifi.  "
,,,,,,,,"The apartment is in a great location but definitely NO FRILLS. Do not expect internet or TV. The listing says fits six people, there is no way unless people are sleeping on the floor and even then I don't know where you would find room. James was very helpful. "
,,,,,,,,"Everything was great, but the huge construction outside the bedroom really stops you having any quiet. Enjoying the apartment to its full capacity is difficult when there are 24/7 constructions happening... So bring ear muffs"
,,,,,,,,"We had a great stay at James's place. It was very clean, convenient and just as promised. He was super friendly to the friends I stayed with (I wasn't around for check in) and communication was prompt and helpful. Would definitely stay there again! "
,,,,,,,,Had a great experience. Was super late checking in but they still helped me out. 
,,,,,,,,We enjoyed staying at James's place during our long weekend in Austin for ACL. It is no frills but comfortable. Unfortunately there is a huge construction project going on right outside of the bedroom window which was noisy at random hours like all night on a weeknight. Good AC but NO WIFI. The second bed is a thin mattress that goes on the floor in the living room. The location is very good on the corner of UT Austin's campus and relatively close to downtown. Lots of food and shops within walking distance. 
,,,,,,,,Had a very pleasant stay at James private apartment. Very cozy and walking distance to UT Austin.  Check in was very smooth. James is a wonderful host very cooperative and will definitely stay here again whey visiting Austin. 
,,,,,,,,"Great host, great location."
15132181,5,10,10,9,10,10,10,Daniel's place was perfect! Would recommend it highly! 
,,,,,,,,Daniel's place was clean and simple and really well located. We stayed in Austin a few days with our daughter and we could walk everywhere.
,,,,,,,,Dan was a great host! Thank you for everything!
,,,,,,,,"The apartment was in a great location, right within walking distance of downtown and the Barton Springs area.  Daniel was very flexible and accommodating, even though we were on a flight that arrived past 11:00 at night.  The air conditioning was great, and the bed was comfortable too."
,,,,,,,,Daniel was a fantastic host -- he communicated and offered accommodations that were helpful for a weekend stay with my friends. Easy to work with and friendly!
,,,,,,,,"Dan is the man. I stayed the weekend here with a couple of friends for ACL, and through every step of the process, Dan went above and beyond our expectations of a host. 

He couldn't have been more welcoming, checking in with us several times during the before and during our ride into Austin to ensure a smooth arrival. He personally expended multiple hours to ensure that we would have convenient and secure parking (for two cars, mind you), and he provided us with extra bedding from of charge when we had a last-minute addition to our travel party. 

I don't think there was a single time we texted Dan with a question or concern in which his response time wouldn't have given even the fastest emergency response crews a run for their money. He even met us to check out at the break of dawn when one of our party was unexpectedly called home by an emergency on our last day. In short, Dan was every guest's ideal host: equal parts professional and personal, an overall perfect combination of the two qualities.

The place itself was immaculate, and a great bit larger we surmised from the photos on Airbnb. One of my friends remarked that we couldn't have handpicked a more convenient location, and I'm assured that he couldn't have been more more accurate. Situated no more than a five minute walk from Zilker Park and no more than a baseball throw from Austin's rich, diverse array of cuisine, the apartment was everything the listing's description claimed and more. 

The place's stainless steel appliances, stone countertops and marvelous pool amounted to a chic physical appearance that rivaled the seemingly peerless asset of its location. Frankly, if the place were priced any lower, we'd practically be stealing it. 

Rest assured, our next stay in Austin will be at this exceptional apartment."
,,,,,,,,"Host was great, made it very easy to check in and out, was always available if we had any issues or concerns. Place is in an absolutely fantastic location, exactly what we needed for ACL. Great experience, would stay here again"
11398275,5,10,10,10,10,10,10,"Karenin was easy to reach and very helpful and clear with instructions.  She left some snacks for us when we arrived, and the house was thoughtfully stocked with extra toiletries in case you forgot anything. The house was clean, bright, and comfortable, and is only a short walk from the convention center, Rainey Street, and other Austin hot spots. The walk itself currently goes through construction areas, but the eastward expansion should only make the location more convenient and desirable in the future. I'd definitely stay here again."
,,,,,,,,Wonderful! We had a group of friends in town for a wedding in the Rainey Street area and this place was in the perfect location. The B&B was clean and cute. We loved our stay here! Highly recommend. 
,,,,,,,,"The house had everything we needed, very clean, very organized.  Walking distance to Rainey.  Host was very attentive, strongly recommend it."
,,,,,,,,"The bungalow was perfect for our girls weekend in Austin. There were six of us and there was plenty of room for all of us. As other guests said, everything was a short 5-10 minute Ride Austin (or as we learned, Fuber - for fake Uber) ride away. Snacks and water were at the house waiting for us and were much needed after 6 hours of travel. she also had plenty of other amenities available - like toilet paper and tooth brushes so you could literally start your vacation the second you walked into the door.  This was a perfect home base and highly recommend it!"
,,,,,,,,"Exactly as pictured. Beds were VERY comfortable. Very clean. Great patio space, with privacy from the street. 

A perfectly situated spot in East Austin. Easy access to 35, so close to great local spots (Cenote and Las Trancas were delicious)

A short walk into downtown. Even with uber and lyft not operating Ride Austin app made getting further out super easy. Rainey St is a great spot for drinks and just a few blocks away. If you're looking for a workout if in town for more than a couple days, RÅ Fitness on trinity street was awesome and again super close. 

I would definitely stay again. "
,,,,,,,,"We went for ACL and it was a 5-10 minute Get Me ride to everything.  Beautiful home, comfortable beds and pillows, 2 car parking spaces.  There's a great taco truck for breakfast 400 ft away :) .  She left us coffee, snacks and old school games.  Would absolutely stay again next time we go for a weekend.  Thank you for your hospitality. "
,,,,,,,,"Karenin was the ultimate professional host. Contact was easy, helpful, and always expedient. The bungalow was exactly as described and I would have no reservations recommending the place to a friend."
,,,,,,,,The place is absolutely fantastic! Karenin is an excellent host! She was so willing to give us pointers on the best resturants and bars around the city! 5 stars all the way!!
,,,,,,,,Fantastic location. I walked into downtown everyday. Karenin even left us loads of snacks!
,,,,,,,,"The place was perfect and Karenin was an excellent hostess! If you are needing to stay close to downtown Austin for any reason, I highly recommend you pick the bungalow as your place to stay..."
,,,,,,,,"Karenin was an incredible host.  Always available yet never interfered with our stay.  Her hospitality is something we will never forget.  Our stay in Austin was amazing.  The location of the house is right near one of the most amazing cafes I have ever been to (and I live in NYC).  It was called Cenote.  Downtown was within walking distance. When we were tired we would use Lyft to get around.  All in all, a great time in Austin, in a great house, with a great host :)"
,,,,,,,,"What an amazing home. Perfectly located, easy walk to all the places in town.
Very very well equipped and spotlessly clean...
Thank you 

if you are having doubts, just book this."
